time jobId jobSize runtime tasks user peer
52 1 3 818 885;530;1038 1 50
434 2 2 962 877;1047 40 4
478 3 3 1092 905;1037;1334 36 1
3779 4 5 1051 1196;482;1273;995;1311 1 50
6462 5 15 841 809;992;850;1010;904;1280;592;1289;609;230;583;652;975;1074;761 1 50
7307 6 1 1165 1165 26 53
8431 7 3 710 501;600;1029 50 34
10207 8 2 864 1227;502 2 54
10323 9 3 816 832;679;937 14 27
11145 10 2 780 632;929 5 74
12730 11 9 788 655;320;787;927;1084;573;734;539;1476 72 9
16752 12 3 1225 1591;1266;817 6 81
17834 13 6 970 1221;406;1106;970;1103;1013 9 6
18230 14 7 961 1341;926;857;1107;435;1324;735 95 66
18332 15 5 814 1066;882;631;111;1381 1 50
18358 16 2 499 763;235 1 50
18368 17 3 1172 1237;600;1679 5 74
18386 18 27 816 568;1626;967;1066;742;256;968;896;1082;795;1525;1204;1431;549;1528;789;382;344;1011;313;285;475;802;724;446;644;614 7 70
18880 19 2 878 870;885 2 54
18904 20 1 468 468 1 50
18927 21 2 806 1032;579 5 74
19374 22 1 1006 1006 3 14
19409 23 1 1207 1207 19 64
19524 24 4 877 1269;802;814;622 312 20
19534 25 7 869 1031;993;917;1202;685;883;373 9 6
19579 26 1 1033 1033 2 54
19638 27 3 776 1021;853;454 1 50
19691 28 5 867 1033;860;224;1443;773 18 57
20251 29 1 548 548 1 50
20281 30 3 1115 1241;1218;887 36 1
20447 31 3 756 683;805;780 3 14
20499 32 2 1648 1599;1697 2 54
20559 33 2 426 441;410 7 70
20591 34 4 978 1231;1206;674;802 3 14
21355 35 3 885 376;1127;1151 48 34
21366 36 2 1136 1116;1157 255 73
21407 37 1 1315 1315 3 14
21553 38 3 492 129;658;689 1 50
21610 39 3 955 797;935;1132 2 54
21940 40 18 854 1334;1579;937;656;475;634;507;601;499;332;438;693;763;1424;806;1547;636;1508 11 92
21959 41 6 944 1389;1470;545;777;403;1077 1 50
22294 42 4 1010 984;1284;1252;519 92 42
22940 43 3 847 956;899;687 1 50
22966 44 5 1062 920;1348;1111;1087;846 186 60
23140 45 3 853 719;468;1371 1 50
23182 46 3 1085 848;971;1437 7 70
23506 47 3 909 807;708;1213 1 50
23806 48 2 710 426;994 24 60
23821 49 2 718 649;787 4 56
23861 50 3 876 969;1074;585 23 48
23891 51 3 1003 1449;599;962 12 30
23928 52 14 746 746;1081;794;107;956;711;1409;1158;390;746;887;827;310;321 1 50
24590 53 4 1102 1728;886;773;1020 2 54
24644 54 1 632 632 3 14
25024 55 2 1038 1644;433 234 50
25045 56 2 796 722;871 1 50
