time jobId jobSize runtime tasks user peer
310 1 80 879 1424;1044;620;317;1164;739;1275;956;1033;1623;1040;355;1131;988;614;826;1453;353;1471;1532;212;426;1559;837;942;941;324;1067;193;343;741;727;297;234;1179;621;556;1660;1215;1734;1141;1033;80;807;522;536;1448;401;1169;347;904;836;728;672;848;362;779;1229;722;975;1341;801;589;1484;1181;715;1300;1397;539;1631;981;1198;801;979;439;663;447;1016;553;994 2 33
776 2 2 692 1277;108 1 47
872 3 2 431 444;418 7 5
5202 4 16 794 1079;770;1007;975;917;664;984;831;1179;1113;820;767;311;283;808;204 1 47
5233 5 3 771 520;827;966 13 2
5308 6 40 832 955;798;621;835;419;1313;522;520;490;1344;1076;299;1434;979;740;1132;1134;1094;876;846;630;486;708;1719;210;877;622;918;522;719;523;1251;683;545;751;1082;1201;1266;1091;64 52 23
5939 7 2 872 1589;155 19 35
8189 8 3 589 871;424;473 5 10
8988 9 8 833 1135;1148;841;534;1068;367;745;826 9 17
11901 10 7 1089 805;522;1425;1418;1220;1302;931 8 5
15193 11 35 894 958;675;1071;569;767;543;466;500;1143;1341;726;1733;811;1101;1342;1019;1563;1371;693;217;951;725;534;497;629;909;1115;729;1000;632;1468;1198;367;754;1157 1 47
31225 12 6 1008 1451;771;1052;1343;148;1284 1 47
31342 13 2 1534 1679;1390 1 47
31529 14 5 946 1677;547;399;1367;742 3 48
31598 15 4 659 511;803;547;775 1 47
31621 16 2 878 730;1027 12 41
31627 17 2 593 779;407 2 33
31756 18 7 1181 1364;1442;1286;1190;1126;1210;647 2 33
32133 19 7 966 1124;993;788;415;1573;1061;807 1 47
32320 20 5 875 720;402;864;1163;1224 14 29
32364 21 4 965 300;650;1709;1200 1 47
32446 22 2 746 1139;353 2 33
32842 23 5 1109 650;1022;1522;1068;1285 4 37
32998 24 2 802 380;1224 3 48
33048 25 2 1022 1311;732 2 33
33135 26 24 954 613;224;1546;653;1252;531;1479;1552;1178;536;276;795;950;1685;744;361;444;1450;1422;1008;1170;1137;794;1105 6 24
33188 27 2 727 566;888 16 48
33417 28 4 1150 1435;1449;910;804 1 47
33709 29 4 698 1075;524;411;783 19 35
34235 30 5 1086 462;1375;538;1478;1577 1 47
34259 31 2 507 651;363 1 47
34376 32 4 631 544;788;932;259 2 33
34393 33 2 1252 1382;1123 3 48
34701 34 3 1172 1144;1385;987 12 41
34715 35 2 1044 487;1600 26 9
35041 36 3 1143 1041;1740;647 42 18
35128 37 14 785 612;1414;1047;1130;319;1349;859;217;782;1075;681;644;200;656 1 47
35340 38 2 522 320;724 1 47
35393 39 2 1160 861;1460 7 5
35559 40 3 1017 1380;455;1216 24 24
35711 41 3 1103 912;1496;900 1 47
35730 42 3 1179 1069;1439;1028 2 33
35930 43 2 913 715;1111 25 4
36011 44 8 1007 1022;619;1486;891;1348;718;583;1392 11 11
36865 45 4 1050 725;1217;1123;1137 167 18
36958 46 6 919 854;1078;1661;519;571;830 1 47
36974 47 4 842 832;1146;649;741 4 37
37308 48 3 1120 1370;491;1498 2 33
38543 49 11 984 496;770;754;1273;1716;901;1191;845;636;1298;940 44 21
38689 50 2 735 748;722 1 47
38726 51 1 854 854 1 47
38744 52 7 896 523;1173;687;699;1537;956;694 38 40
38794 53 3 716 998;817;332 17 25
38925 54 2 1362 1207;1516 1 47
38952 55 4 779 1018;132;825;1141 32 7
39189 56 4 688 410;907;240;1193 3 48
39240 57 2 662 750;573 1 47
39279 58 7 1073 523;605;1149;1702;1184;778;1570 1 47
39312 59 6 1112 1004;1634;712;1440;1129;755 3 48
39848 60 9 1022 1132;717;1302;839;806;1286;1679;743;694 1 47
40013 61 8 619 725;1196;253;540;1111;304;75;748 98 27
40138 62 5 1058 748;855;1055;1541;1089 9 17
40202 63 4 967 1279;912;768;910 7 5
40306 64 4 1001 1056;305;1529;1115 149 8
40433 65 5 696 1037;1281;463;338;363 66 24
40506 66 1 1085 1085 1 47
40646 67 2 1052 1436;669 3 48
40702 68 1 1180 1180 99 35
40851 69 2 1157 1060;1254 2 33
40986 70 4 715 759;367;770;965 1 47
41458 71 6 924 926;408;615;1356;1243;999 8 5
41484 72 1 857 857 1 47
44025 73 3 854 746;827;989 4 37
44555 74 22 874 844;903;294;1301;782;685;759;846;1091;1123;916;1178;1142;705;816;578;1122;1292;1307;509;450;588 11 11
44911 75 2 731 763;699 40 26
44951 76 3 1172 1207;974;1336 1 47
44997 77 8 1094 1444;1711;390;782;1348;1227;822;1032 4 37
