time jobId jobSize runtime tasks user peer
547 1 28 847 923;791;473;1091;640;733;1347;602;1036;964;812;1199;388;823;1462;1114;817;385;807;1459;954;490;361;1001;1579;817;395;251 4 1
5693 2 5 537 427;580;256;728;696 1 7
5801 3 3 957 1131;1166;575 40 6
7564 4 3 724 681;558;933 80 8
8017 5 1 593 593 5 2
9531 6 4 903 520;912;1128;1052 70 7
10895 7 6 888 1090;637;464;812;817;1507 1 7
11214 8 5 1006 1482;1037;1040;1144;326 2 7
13884 9 17 849 1067;1134;1105;318;791;1468;1199;403;1362;1024;864;1010;183;293;1045;748;426 1 7
14107 10 11 954 1185;1380;773;917;1342;843;868;1153;650;771;614 1 7
20632 11 3 1316 963;1442;1544 1 7
21100 12 5 938 1225;803;1045;767;850 1 7
21177 13 3 627 123;350;1407 8 2
21299 14 5 827 1078;254;877;908;1019 29 7
21341 15 2 1509 1624;1394 7 9
21414 16 5 819 730;1079;768;609;910 50 1
21427 17 5 731 464;1216;713;284;976 15 4
21473 18 2 745 362;1128 168 1
21757 19 3 1186 1739;959;859 2 7
21886 20 8 910 1657;424;803;1077;687;670;1258;701 2 7
21953 21 12 777 710;1078;825;645;678;90;1265;472;921;793;1356;494 46 2
22012 22 1 912 912 1 7
22170 23 2 989 1212;766 3 4
22348 24 5 968 1008;676;857;889;1412 1 7
22511 25 8 897 176;1134;384;1030;906;1305;1198;1045 1 7
22679 26 6 930 1096;827;325;788;1153;1394 22 9
22713 27 4 995 303;872;1346;1459 9 4
22771 28 1 524 524 27 1
22775 29 2 724 880;568 1 7
22804 30 1 1326 1326 31 5
23097 31 3 662 571;624;792 1 7
23104 32 5 723 593;1145;464;369;1043 1 7
25001 33 10 894 583;1204;630;1223;327;860;1327;1076;553;1158 149 6
25065 34 27 959 1256;1009;1410;1522;731;1119;1092;844;927;1369;1448;207;1108;1248;969;1242;485;341;760;1307;924;702;776;509;445;1152;988 1 7
25156 35 6 985 947;1202;1539;1095;201;926 15 4
26402 36 4 1402 1349;1464;1582;1214 36 1
26411 37 7 978 979;1325;831;1047;1353;161;1148 34 1
26749 38 2 962 839;1085 16 2
26755 39 2 1220 1110;1329 8 2
26987 40 5 1114 1274;587;1125;1288;1298 2 7
27013 41 7 648 1241;209;525;269;630;913;747 19 9
27136 42 8 905 611;863;753;1114;1653;341;652;1254 1 7
27223 43 2 714 475;952 4 1
27360 44 1 371 371 262 2
27678 45 2 606 818;395 1 7
28292 46 1 1434 1434 305 8
28927 47 20 1007 753;741;1031;1002;1098;1631;1197;1722;719;253;845;1158;1213;969;188;1144;448;1398;1615;1018 5 2
29024 48 3 643 374;586;970 13 9
29095 49 4 984 494;1165;1059;1220 1 7
29098 50 3 1019 876;1293;889 1 7
29143 51 3 1047 1119;870;1152 5 2
29164 52 10 793 718;1047;1563;847;261;1177;874;1012;185;250 7 9
29212 53 120 855 401;422;1338;1575;1212;883;1129;734;485;366;904;1082;1170;969;566;295;677;641;1008;1154;848;1208;1591;336;929;1573;1166;1439;1138;158;88;409;1142;640;925;670;858;122;1601;1163;1115;1322;218;1009;984;928;268;1473;1350;797;662;1161;431;911;569;710;196;160;1344;146;1601;61;417;1233;1395;745;1096;1029;1075;1592;1144;1247;1367;417;1277;928;260;1396;735;655;1426;1135;782;713;745;693;399;463;699;786;539;564;569;1134;274;818;962;811;878;769;464;302;435;1080;1558;871;621;1180;1129;746;666;1031;1174;827;1562;481;712;789;1012;397 1 7
29662 54 3 1082 1732;422;1091 70 7
29692 55 2 1098 1231;964 1 7
30288 56 4 862 560;483;1456;951 36 1
30408 57 2 993 788;1198 15 4
30419 58 5 746 809;897;454;1238;330 12 3
30489 59 4 904 1105;606;1005;899 4 1
30782 60 5 1103 1029;764;1183;1415;1125 1 7
32174 61 4 950 382;1340;1465;615 47 7
32233 62 2 615 152;1078 3 4
32385 63 4 1180 1126;961;1386;1246 296 2
32437 64 2 1136 1320;951 2 7
32442 65 15 903 470;1269;462;1132;591;260;994;607;1547;843;638;1043;809;1735;1142 37 3
32658 66 3 747 696;573;971 3 4
32681 67 3 726 820;746;612 3 4
32768 68 1 1142 1142 1 7
34199 69 2 1060 977;1144 1 7
34274 70 3 904 951;550;1212 7 9
34319 71 25 1033 1021;1072;942;1286;1305;1354;1620;938;417;1350;546;306;1494;1391;1230;743;1345;784;615;1252;733;1591;595;1480;426 5 2
34387 72 2 1259 1022;1496 51 2
34393 73 4 982 737;212;1539;1438 77 9
34784 74 4 598 297;425;743;929 1 7
34865 75 2 1280 1695;865 8 2
35023 76 2 986 1187;784 138 8
35099 77 2 518 649;388 33 7
37364 78 2 726 691;762 1 7
37443 79 11 953 1104;1264;488;1524;1177;1136;840;529;661;1069;690 3 4
37464 80 3 706 893;422;802 4 1
37528 81 40 860 414;1085;1136;911;1147;595;961;404;895;1222;1190;1555;646;432;877;996;964;1166;307;398;690;1402;1672;671;847;646;897;1093;1198;728;349;1111;137;1351;698;655;777;998;820;366 15 4
37743 82 6 909 1176;985;1074;753;498;967 1 7
37908 83 2 1149 1206;1092 1 7
38070 84 13 1073 1170;690;1100;1179;1510;344;1268;1052;565;1378;589;1623;1483 8 2
38109 85 7 796 1169;425;624;469;1214;423;1247 13 9
38143 86 10 672 341;598;306;120;424;1569;498;1252;1087;528 111 8
38153 87 5 850 416;776;1224;1416;418 1 7
38163 88 9 847 1578;1254;1026;792;776;240;774;452;728 1 7
38167 89 3 1074 903;852;1466 22 9
38215 90 4 1102 768;1567;673;1402 1 7
38239 91 5 660 787;561;396;819;735 13 9
38298 92 1 361 361 1 7
38320 93 2 851 571;1131 10 3
38452 94 2 1428 1585;1271 82 9
38537 95 11 854 954;1072;236;1140;453;281;1142;689;893;1102;1435 252 9
38609 96 2 744 431;1058 11 2
38661 97 5 762 814;964;368;1485;179 346 1
38764 98 2 1305 1012;1598 81 3
38795 99 2 1118 1615;620 21 2
38864 100 1 400 400 7 9
38868 101 34 847 973;1155;741;959;716;253;1398;780;858;400;676;1245;1328;455;881;1053;1361;1093;835;352;1039;1169;438;1252;837;396;821;792;1189;1186;360;958;447;407 1 7
38896 102 5 925 998;1217;638;659;1113 43 2
38917 103 2 586 727;444 5 2
38933 104 2 936 985;886 64 1
39002 105 1 222 222 2 7
39115 106 5 1070 919;843;1459;1267;861 119 5
39143 107 3 841 1051;744;729 172 1
39284 108 3 1071 524;1283;1406 2 7
39295 109 1 1275 1275 1 7
39329 110 6 675 1434;341;607;324;757;588 347 2
39335 111 2 1344 1044;1644 134 7
39352 112 2 898 956;839 3 4
39446 113 7 852 1079;1192;631;524;1258;575;704 3 4
39999 114 6 720 1247;423;372;1063;815;397 2 7
40023 115 2 828 1250;407 9 4
40210 116 1 674 674 3 4
40242 117 2 1131 1077;1185 1 7
40252 118 2 584 501;666 1 7
40287 119 3 813 332;1104;1002 1 7
40322 120 2 1035 1462;608 5 2
40716 121 4 625 770;1295;315;119 2 7
40747 122 1 798 798 9 4
40781 123 6 1242 1176;1417;1520;1373;1022;946 79 6
40900 124 3 936 293;951;1563 2 7
40947 125 3 614 741;504;597 2 7
41025 126 7 836 644;1362;711;489;732;1411;500 1 7
41465 127 2 876 1140;611 37 3
41723 128 33 855 541;990;400;1134;174;1155;1018;900;1104;1281;1501;316;786;1015;630;575;1209;412;1024;1039;1249;1345;626;801;707;760;752;924;1016;260;583;518;1459 3 4
42234 129 2 889 1005;773 25 2
42252 130 4 1196 1258;992;916;1617 5 2
42358 131 10 1015 1167;929;1250;1254;842;1206;973;694;439;1392 1 7
42628 132 8 903 883;1073;119;1019;984;859;798;1491 65 5
42891 133 1 1249 1249 4 1
43136 134 6 926 1093;453;714;1625;1039;629 1 7
43322 135 2 1456 1721;1192 1 7
43625 136 5 644 965;671;588;735;263 25 2
43776 137 4 1191 1425;939;1066;1335 5 2
43792 138 3 685 393;627;1036 1 7
43804 139 7 759 1227;343;811;1664;136;348;785 31 5
43828 140 3 929 616;1259;913 1 7
43847 141 2 1072 893;1252 9 4
44074 142 4 677 599;149;1033;926 3 4
45137 143 2 856 781;930 14 1
45321 144 2 632 962;301 8 2
45372 145 2 1210 1621;800 82 9
45630 146 2 926 1032;821 3 4
46068 147 1 1484 1484 2 7
46093 148 3 1255 1610;1191;963 2 7
46207 149 1 1019 1019 1 7
46407 150 2 812 565;1060 3 4
46448 151 2 1306 1232;1380 1 7
46581 152 1 1517 1517 1 7
46600 153 6 842 1049;1103;721;1076;686;419 2 7
46704 154 1 942 942 1 7
47112 155 14 1001 1367;1579;755;1667;1299;627;761;1148;553;932;771;1065;894;601 31 5
47254 156 4 906 1367;381;881;994 4 1
47281 157 1 1051 1051 1 7
47518 158 4 654 193;483;1055;885 3 4
47879 159 4 872 984;895;1067;544 5 2
47883 160 3 462 557;688;141 2 7
47993 161 14 948 1136;1007;858;1026;1334;897;914;1178;218;1271;1316;871;108;1139 4 1
48163 162 4 597 119;596;731;943 1 7
48281 163 3 491 481;628;364 8 2
48614 164 3 582 236;1206;304 6 2
48684 165 3 548 381;144;1119 1 7
