time jobId jobSize runtime tasks user peer
812 1 2 1479 1736;1222 2 16
1355 2 3 797 293;1468;630 19 6
1978 3 3 807 425;1534;463 58 5
2243 4 2 978 1287;669 10 17
4330 5 19 1034 174;1222;1096;656;1037;797;1225;1162;1332;701;1323;1374;1614;987;928;1137;667;1423;787 1 4
4860 6 35 917 1272;468;837;1039;1341;908;1191;803;1001;552;753;1296;610;1308;1007;741;715;262;459;1399;865;223;1077;689;1298;973;1245;1027;881;802;1267;1070;1149;672;890 1 4
8184 7 16 813 196;864;1142;633;533;851;1025;739;1059;517;812;1228;869;1064;798;685 1 4
9289 8 4 888 1110;621;1212;610 1 4
13091 9 4 980 1460;890;1124;447 29 15
17892 10 2 1155 1049;1261 64 5
22013 11 2 1073 1276;870 9 16
22069 12 4 1149 784;919;1542;1351 2 16
22175 13 1 970 970 5 8
22191 14 3 1151 658;1120;1675 1 4
22359 15 2 1010 1134;887 6 18
22516 16 3 867 979;755;868 3 15
22595 17 5 811 333;661;952;1059;1052 107 12
22651 18 7 723 866;295;128;1680;963;720;407 248 3
22725 19 2 800 656;944 1 4
22737 20 2 1090 1450;730 103 2
23666 21 1 1493 1493 108 12
23686 22 8 964 811;576;1013;905;1401;1245;772;990 38 6
23843 23 2 928 1128;727 100 17
23857 24 2 1244 1141;1346 12 7
23914 25 1 1105 1105 72 4
23935 26 6 1002 1006;1343;742;1088;1222;613 3 15
23938 27 8 1162 1506;1031;1098;1178;561;1386;996;1541 60 2
23955 28 5 1044 808;1038;404;1558;1410 1 4
24124 29 5 1018 827;981;747;1458;1077 2 16
24515 30 15 956 785;1116;767;1209;1153;1224;1022;1296;792;452;1022;1121;688;1309;388 325 17
24760 31 6 794 461;513;721;1287;716;1069 198 14
24790 32 1 1004 1004 4 3
25321 33 8 950 1139;564;738;945;973;1443;925;869 1 4
25326 34 2 1138 1411;864 3 15
25335 35 2 1135 1312;958 10 17
25449 36 2 982 1156;809 26 18
25557 37 2 262 347;177 256 1
25572 38 4 696 463;1138;418;764 28 13
25917 39 9 822 1064;1211;408;858;410;533;1147;1026;742 6 18
25935 40 3 1348 1329;1588;1126 3 15
25999 41 2 818 603;1032 249 17
26047 42 14 916 573;786;829;489;1010;686;598;1278;514;1354;1086;868;1708;1041 1 4
26094 43 1 1505 1505 1 4
26262 44 13 895 914;1693;996;1128;861;724;682;563;237;1219;412;1190;1020 33 11
26302 45 3 822 1085;936;444 10 17
26402 46 2 676 752;600 2 16
27165 47 3 909 1289;564;873 1 4
27213 48 12 807 456;1583;499;835;507;1473;396;817;838;1211;950;120 1 4
27420 49 14 986 1333;1235;888;664;1497;556;1303;715;1211;585;884;1249;1406;282 1 4
27437 50 2 825 577;1073 1 4
27445 51 4 694 1131;296;684;666 5 8
27505 52 6 706 597;459;820;791;1077;489 1 4
27522 53 2 1452 1611;1293 4 3
27729 54 2 1252 1199;1306 20 16
28086 55 44 884 616;737;325;128;1380;815;898;1046;1023;974;1367;592;1114;1289;749;83;954;487;728;1234;1180;912;956;842;1101;509;1176;1292;1232;598;660;1558;847;944;1484;745;776;1007;95;891;526;698;852;1461 42 16
28290 56 3 913 1480;253;1006 1 4
28295 57 9 847 1244;415;388;1156;828;646;1263;809;872 102 5
28349 58 2 493 213;773 13 10
28452 59 1 1236 1236 2 16
28458 60 2 778 1029;528 3 15
28591 61 6 683 443;897;652;671;668;765 1 4
28696 62 5 1015 530;1199;718;1148;1480 3 15
28745 63 1 538 538 2 16
28896 64 3 578 254;613;866 57 3
29017 65 3 741 846;641;737 1 4
29366 66 2 456 803;109 17 12
29389 67 1 965 965 2 16
29392 68 2 556 1005;108 1 4
29544 69 5 556 604;705;161;420;892 2 16
29635 70 1 260 260 5 8
29699 71 3 1305 1654;1427;833 1 4
29783 72 12 767 190;736;413;1339;801;1069;909;231;1423;315;1251;523 8 9
30163 73 29 905 147;200;1128;691;1341;1355;1154;1059;203;782;1167;1079;1191;793;456;1270;725;680;1526;1030;903;716;1111;1355;710;946;848;1096;571 18 12
30302 74 3 633 335;959;605 1 4
30585 75 7 890 563;1059;1209;707;316;946;1433 1 4
30595 76 2 982 827;1137 2 16
30773 77 5 880 888;857;295;897;1461 8 9
30859 78 3 778 966;868;499 48 5
30891 79 10 806 358;475;1431;963;983;476;528;922;1503;420 20 16
31098 80 2 329 560;98 1 4
31108 81 3 953 1098;1240;520 2 16
31176 82 15 987 649;1233;1395;957;693;824;608;1234;1170;788;1103;1049;861;1401;847 1 4
31206 83 4 721 839;1173;96;775 3 15
31398 84 2 893 432;1354 2 16
31425 85 7 1121 1277;1245;1250;848;1069;1056;1102 11 7
31605 86 7 1217 1521;795;701;1661;1138;1386;1318 257 19
31838 87 3 436 555;521;232 1 4
31949 88 2 931 1026;836 1 4
32030 89 2 478 447;508 17 12
32036 90 2 574 674;473 3 15
32071 91 6 1071 387;1321;756;1256;1167;1538 10 17
32298 92 2 742 947;537 5 8
32389 93 4 765 517;1016;516;1010 1 4
32469 94 2 640 709;572 5 8
32505 95 3 1070 1126;821;1263 74 4
32514 96 5 875 1084;313;839;987;1151 24 6
32589 97 2 453 570;336 9 16
32617 98 4 1023 1224;1242;582;1044 17 12
32627 99 3 893 412;1353;914 15 16
32670 100 12 841 1298;1177;1199;994;470;963;1046;718;619;74;795;734 1 4
32687 101 1 756 756 14 13
32769 102 5 712 1148;1100;242;736;336 3 15
32799 103 6 986 1067;1250;1184;507;1039;870 1 4
32825 104 3 895 645;1003;1037 1 4
32827 105 9 1122 1343;866;1701;1525;1128;887;1160;661;830 1 4
32968 106 11 796 799;1204;1145;1099;297;1066;603;387;898;1138;120 1 4
33276 107 11 710 752;1073;926;531;1374;503;629;427;561;289;744 2 16
33597 108 4 906 965;1296;447;917 1 4
33631 109 7 836 1228;1570;147;516;879;799;716 82 14
33719 110 1 1166 1166 4 3
33813 111 2 1212 1565;860 2 16
34450 112 2 1018 994;1041 19 6
34530 113 24 798 1342;1141;621;322;323;615;585;67;492;915;327;1381;1310;462;510;1065;374;1540;825;1479;813;418;1073;1156 1 4
34649 114 4 1048 803;1390;1191;809 4 3
34673 115 4 1228 1344;1170;1630;770 2 16
34681 116 5 1046 1152;1403;767;701;1208 1 4
34740 117 7 906 724;950;1432;815;354;773;1294 43 16
34775 118 3 896 1067;650;970 1 4
34841 119 7 1000 587;1591;575;790;1016;936;1508 9 16
34951 120 18 814 1106;767;751;794;1306;791;531;395;180;558;913;711;1283;862;1347;843;1116;407 1 4
35109 121 2 832 1115;549 11 7
35130 122 3 525 503;758;313 1 4
35199 123 2 1086 1158;1014 119 11
35214 124 10 883 821;1048;471;1521;776;797;754;926;434;1284 158 14
35755 125 9 751 1087;356;1029;595;764;908;512;744;767 10 17
35761 126 22 821 1622;1236;790;1166;1131;858;995;808;299;488;577;559;709;1217;678;1058;136;554;741;584;587;1265 1 4
35933 127 2 814 688;941 2 16
35938 128 3 1132 736;1150;1511 19 6
35954 129 6 686 618;345;482;619;1376;677 1 4
35996 130 17 978 351;1701;755;601;565;1462;1074;972;1182;845;934;924;1671;1014;593;867;1111 2 16
36101 131 1 1189 1189 1 4
36125 132 5 1220 1307;1338;1094;1018;1342 1 4
36129 133 8 949 1268;783;683;590;531;1224;1002;1514 3 15
36166 134 15 891 459;625;591;603;1399;1006;990;1370;1353;381;1463;203;684;1194;1047 2 16
36369 135 2 715 411;1019 2 16
36400 136 13 783 772;668;676;319;1195;1185;407;1395;1070;903;458;897;233 16 11
36433 137 2 898 470;1327 1 4
36537 138 10 804 358;657;623;859;459;532;940;967;1100;1545 70 15
36932 139 5 1202 1494;1135;1015;1648;720 3 15
36985 140 4 993 1197;868;873;1035 1 4
37099 141 2 838 987;690 50 4
37231 142 2 977 804;1150 26 18
37249 143 8 725 790;870;467;1100;1682;426;356;106 16 11
37522 144 2 853 703;1003 160 11
37667 145 2 788 344;1232 1 4
37680 146 27 898 886;931;1021;1224;694;145;364;997;886;1478;1460;133;1608;790;613;986;678;1289;402;951;1272;1355;1368;416;319;724;1254 1 4
37931 147 10 922 766;528;949;357;733;1264;1090;989;878;1668 7 19
38033 148 1 981 981 18 12
38083 149 2 1190 1074;1305 9 16
38449 150 1 1199 1199 1 4
38606 151 10 786 1481;319;1439;1041;580;730;90;966;759;458 1 4
38750 152 3 977 1396;1076;458 212 11
38759 153 2 842 927;757 1 4
38857 154 6 1010 1097;1015;772;949;917;1309 1 4
38866 155 9 1098 1190;911;1180;1279;1140;1326;656;1271;930 23 16
38905 156 16 1110 1048;1530;1168;711;1225;1277;577;1323;1636;686;1632;627;704;1050;1414;1160 6 18
38953 157 7 851 466;535;1255;986;1520;521;671 13 10
39001 158 4 1196 1185;1063;1104;1434 4 3
39104 159 2 918 1326;509 4 3
39675 160 21 982 220;1590;703;745;995;1334;1213;1178;549;1118;1235;1733;800;721;548;1046;489;761;1074;1012;1562 1 4
39680 161 2 1386 1197;1575 154 7
39745 162 4 527 294;503;590;722 2 16
39881 163 6 983 1071;705;700;743;1295;1385 1 4
40112 164 5 745 627;1131;453;583;933 2 16
40311 165 2 654 417;892 9 16
41014 166 2 1014 979;1048 1 4
41643 167 2 492 681;304 15 16
41754 168 9 1048 1608;1245;595;1027;134;1096;1126;1730;873 1 4
41786 169 2 468 401;534 3 15
41861 170 2 148 228;68 2 16
42370 171 6 1056 1611;1118;710;1274;877;749 82 14
42422 172 3 1235 1042;939;1725 2 16
42435 173 1 764 764 1 4
42480 174 4 771 943;339;1145;658 1 4
42593 175 2 890 1700;81 1 4
42605 176 3 1108 1128;1314;881 2 16
42680 177 2 1094 767;1421 28 13
42698 178 13 890 607;470;317;594;1565;289;311;1429;1294;1286;1005;966;1442 86 16
42718 179 3 584 645;433;675 74 4
42850 180 3 921 1236;807;720 19 6
42867 181 5 836 770;1130;780;498;1001 1 4
43777 182 5 683 1047;256;895;566;653 2 16
43951 183 3 1215 1210;1153;1283 4 3
44145 184 2 1192 1449;934 1 4
44170 185 2 920 1016;824 2 16
44179 186 1 1007 1007 3 15
44286 187 7 950 1300;579;388;1074;992;1182;1138 1 4
44316 188 33 797 662;812;700;1016;746;996;636;933;1420;575;981;675;138;341;740;626;853;851;743;982;567;725;1521;333;1043;885;555;879;897;1647;428;595;787 24 6
44419 189 8 893 1013;894;933;609;535;1491;970;699 350 10
44536 190 9 988 707;1375;1217;916;486;623;498;1449;1625 1 4
45206 191 7 1075 401;1419;1394;694;1527;1334;753 3 15
45217 192 2 894 782;1006 1 4
45276 193 5 1024 996;1298;992;1215;619 1 4
45292 194 1 952 952 93 4
45433 195 4 902 754;1048;934;874 2 16
45456 196 2 962 961;962 3 15
45483 197 5 753 1156;651;767;760;429 1 4
45639 198 7 890 1017;578;1012;1090;1274;918;339 87 18
45765 199 8 778 1336;929;594;599;103;1216;627;822 113 13
45955 200 4 974 1498;622;824;951 1 4
46285 201 2 398 703;94 1 4
46332 202 8 986 267;644;1000;1650;1559;1182;879;706 11 7
46358 203 15 869 359;635;1399;1260;1364;427;1048;411;681;712;1658;1098;767;115;1099 2 16
46425 204 2 728 896;561 2 16
46494 205 3 789 488;1123;755 3 15
46563 206 5 815 803;887;874;1038;472 109 3
46698 207 22 929 1053;1449;1158;1013;868;514;940;477;1173;341;1146;1109;1246;775;1271;756;1144;892;893;812;440;973 5 8
46846 208 7 923 1016;353;412;1330;992;1258;1101 20 16
46855 209 3 551 1051;509;92 2 16
47782 210 4 1151 636;1227;1235;1505 19 6
47891 211 2 630 332;927 136 15
48490 212 4 1106 1381;1403;435;1205 15 16
48507 213 3 838 906;389;1220 12 7
49322 214 5 1087 1342;1180;453;1208;1254 1 4
49358 215 4 1040 1113;963;782;1304 5 8
49454 216 25 884 695;1456;825;899;1361;1008;147;1525;831;517;791;642;1040;420;986;1433;878;1510;693;331;574;546;688;1414;891 1 4
49723 217 3 958 360;979;1536 2 16
50006 218 4 949 770;986;775;1264 2 16
50186 219 4 1075 1047;521;1491;1241 5 8
50199 220 8 736 110;827;898;1188;650;709;1348;160 22 18
50493 221 9 839 939;66;921;731;839;941;1145;1351;615 5 8
50656 222 8 748 520;754;500;155;1106;1083;578;1287 1 4
51060 223 14 984 1501;1683;561;934;695;832;1481;369;1105;840;862;853;868;1186 195 13
51543 224 3 738 869;410;935 1 4
51600 225 2 1032 1135;928 1 4
51665 226 2 1088 1040;1135 1 4
52283 227 39 831 156;1096;1017;440;850;746;1444;1007;1348;1237;512;833;818;1010;183;901;922;546;998;595;738;435;999;610;610;594;654;192;1210;1450;265;1491;105;999;1377;826;1262;627;1323 3 15
52388 228 5 933 1156;1188;1367;419;533 1 4
52428 229 10 902 1184;1501;1031;227;1028;1216;724;638;682;793 1 4
52434 230 14 931 1349;850;549;968;927;762;820;815;998;910;1061;998;626;1398 10 17
52476 231 3 979 561;656;1720 1 4
52563 232 6 1003 794;950;1107;1387;957;823 20 16
52649 233 2 510 849;171 82 14
52686 234 3 716 808;239;1101 1 4
54374 235 5 1110 1144;1383;1123;1040;862 1 4
54378 236 8 820 1186;201;940;305;1500;1257;470;699 1 4
54546 237 2 1234 1401;1068 80 13
54622 238 2 966 944;988 3 15
55377 239 12 911 893;668;334;1708;502;1268;835;999;642;853;1267;963 3 15
55413 240 20 879 1003;937;575;889;1010;899;884;725;737;1022;1237;1622;1194;635;534;699;1067;1011;191;715 1 4
55443 241 10 910 1265;472;761;517;1112;1694;751;1466;787;272 27 6
55449 242 8 845 635;1214;395;775;731;872;704;1434 1 4
56602 243 4 1014 1454;1023;362;1215 2 16
56619 244 5 693 763;764;61;516;1359 12 7
56956 245 3 776 94;1043;1191 2 16
57000 246 4 1133 987;1227;691;1626 1 4
57028 247 10 1040 298;1621;1238;1337;621;1280;518;1235;787;1461 310 9
57140 248 4 974 887;1432;720;856 1 4
57187 249 1 436 436 14 13
57203 250 4 1254 1337;1398;1401;879 112 18
57448 251 25 848 1566;503;528;549;831;818;1090;1065;1015;886;170;1318;1081;952;1054;561;820;882;1051;615;1173;1135;469;648;418 1 4
57574 252 85 916 806;1156;776;1212;1652;660;949;1288;568;1319;867;964;111;1699;1653;362;868;505;641;1208;691;820;1246;1155;449;774;789;688;965;1019;994;465;615;644;739;749;736;930;1087;1159;1317;739;826;1395;976;816;1143;969;814;696;760;277;700;1351;900;1493;1291;862;1639;738;1119;1097;1124;1399;1632;665;722;414;997;948;684;1321;1269;1206;813;852;190;1303;435;1054;764;1241;706;82;172 7 19
57601 253 2 642 731;554 133 7
58288 254 3 611 687;264;883 171 13
58297 255 6 854 1040;754;955;501;1247;629 2 16
58390 256 1 1309 1309 2 16
58625 257 4 671 781;829;775;299 12 7
59010 258 2 621 682;560 1 4
59087 259 5 728 456;1239;779;106;1061 1 4
59179 260 2 924 575;1273 41 13
59954 261 4 756 397;1346;758;524 2 16
60101 262 7 666 62;718;1102;484;575;957;761 21 3
60212 263 40 919 929;735;1028;659;525;1248;1448;1004;536;1301;944;1232;731;986;634;515;740;929;1222;779;791;224;1576;939;738;1110;571;1115;632;834;639;1447;199;792;1218;949;1400;908;1174;1385 183 12
60643 264 5 769 733;800;364;941;1009 3 15
60707 265 5 791 372;772;1066;901;842 3 15
60724 266 3 709 1300;498;328 124 3
60930 267 10 984 853;1496;1202;923;1718;1466;542;382;1011;244 1 4
62215 268 3 713 336;305;1497 61 3
62244 269 13 830 368;1389;341;1590;1001;1062;763;673;907;1101;1132;256;209 43 16
62483 270 4 873 448;1289;780;974 12 7
62570 271 1 1239 1239 2 16
62894 272 2 876 427;1324 66 7
62953 273 2 610 804;416 3 15
63305 274 4 481 509;117;391;907 2 16
63321 275 5 937 1178;782;568;1119;1039 1 4
63480 276 2 833 606;1060 1 4
63937 277 4 1042 180;1151;1405;1432 4 3
64367 278 3 653 599;708;652 67 17
65082 279 9 858 1283;744;935;640;1167;755;1126;816;259 6 18
65143 280 3 1289 1277;1128;1461 2 16
66245 281 7 676 659;639;482;579;978;1206;186 2 16
66263 282 4 856 773;673;1494;482 1 4
66510 283 4 471 864;205;459;356 2 16
66745 284 3 554 201;508;953 2 16
66885 285 3 784 852;743;758 1 4
66931 286 4 1300 1061;1492;1310;1335 37 2
67023 287 5 902 818;595;1300;898;899 124 3
67307 288 1 910 910 7 19
67311 289 3 1124 850;1389;1134 2 16
67546 290 4 1202 1016;811;1323;1657 13 10
69190 291 2 1132 1256;1009 12 7
69289 292 13 1055 216;701;919;1406;1032;1069;1374;870;1452;1320;1627;691;1035 1 4
69742 293 2 1130 1057;1204 9 16
71246 294 7 615 474;145;663;490;1143;945;445 143 13
71448 295 4 570 603;1008;347;324 1 4
73404 296 5 1152 1278;493;1478;1260;1250 5 8
73437 297 4 782 968;1108;540;513 3 15
73569 298 3 976 215;1178;1535 1 4
73720 299 2 700 765;635 2 16
74156 300 6 851 1301;1370;192;522;992;730 21 3
74746 301 5 566 1185;639;260;297;447 2 16
74875 302 2 989 1129;849 1 4
75064 303 4 768 1232;146;1047;646 1 4
75188 304 2 602 696;507 17 12
77500 305 8 1027 433;725;1294;550;1564;1238;1308;1101 1 4
77662 306 2 955 1302;608 1 4
79548 307 2 390 287;492 1 4
