time jobId jobSize runtime tasks user peer
812 1 2 1040 1473;607 1 6315
973 2 22 821 875;1446;700;1001;1340;569;893;456;727;1408;502;1611;701;315;489;788;1176;623;902;462;954;126 7 1009
1419 3 3 808 419;1370;635 1 6315
1536 4 5 848 804;220;971;1497;748 1 6315
1560 5 3 693 1014;883;182 133 3425
2111 6 2 867 831;903 1 6315
4926 7 2 663 894;432 1 6315
5173 8 26 1055 1149;866;1511;856;1303;1139;1305;442;998;818;1246;971;602;1125;1731;1227;1076;1253;1068;595;755;189;1485;1504;915;1293 128 772
7816 9 40 897 989;836;711;1330;496;949;527;878;1019;1018;719;1346;1015;1418;597;747;1216;1123;1510;155;724;612;817;1215;1226;949;572;836;1174;911;749;554;834;785;1472;1068;448;698;599;1052 1 6315
8072 10 3 944 852;1237;743 2 8126
8870 11 6 1108 1272;1080;1261;987;826;1222 2 8126
10787 12 2 977 1419;535 13 7020
11667 13 4 726 1092;423;962;425 2 8126
17662 14 2 948 1270;626 1 6315
18936 15 1 503 503 1 6315
18983 16 2 974 923;1025 4 7408
19736 17 11 1005 1338;540;880;901;906;929;1237;873;1080;1511;860 17 8451
19848 18 4 1069 1104;1039;1452;680 8 3147
19890 19 2 708 615;801 5 6727
20045 20 1 1403 1403 7 1009
20156 21 28 902 670;335;1311;462;244;851;130;1183;1078;979;752;1087;521;450;1003;1399;1179;153;1271;989;1121;831;1089;1380;846;1183;1678;1082 1 6315
20215 22 3 956 962;1196;711 232 7127
20258 23 1 1012 1012 1 6315
20271 24 3 969 1430;545;931 8 3147
20356 25 6 950 1123;456;962;1337;626;1198 12 5548
20365 26 2 1334 1373;1294 91 4692
20437 27 2 752 566;937 54 2385
20442 28 2 230 129;330 2 8126
20503 29 3 825 1305;865;306 3 2095
20756 30 5 1062 594;1663;1478;220;1354 2 8126
20833 31 2 1348 1344;1352 203 1847
21660 32 3 612 763;304;770 4 7408
21759 33 1 1063 1063 3 2095
21918 34 2 843 1019;667 2 8126
22145 35 4 864 1389;814;1007;248 11 4049
23034 36 20 796 1217;958;834;453;730;1389;863;1270;1103;520;409;807;739;98;1502;784;417;207;944;674 11 4049
23169 37 2 772 1232;313 1 6315
23303 38 3 1289 1249;1010;1609 1 6315
23572 39 2 689 849;529 16 3473
23811 40 3 1231 1063;1024;1606 1 6315
23932 41 2 1020 824;1216 208 736
24404 42 2 1160 1169;1152 1 6315
24576 43 1 826 826 163 2717
24579 44 2 570 359;780 49 1157
24697 45 2 1224 843;1606 1 6315
25027 46 4 1013 1385;534;758;1375 1 6315
25186 47 1 1527 1527 1 6315
25364 48 7 952 716;728;1183;636;723;1063;1618 36 8475
25444 49 2 678 388;969 120 8391
25536 50 4 612 828;403;713;504 14 5017
25552 51 2 1060 744;1377 1 6315
25630 52 4 1066 1632;1047;1000;587 24 7419
25784 53 4 1043 1184;955;895;1138 23 3166
25805 54 29 863 1019;627;521;1442;794;421;828;1100;722;892;391;626;1598;838;1103;882;939;767;683;496;1148;428;1390;1338;1493;858;244;763;671 2 8126
25820 55 3 816 976;364;1108 1 6315
25836 56 7 881 397;943;1059;658;1345;1209;558 2 8126
25873 57 5 1187 1241;875;1460;1142;1217 2 8126
26662 58 2 456 362;550 1 6315
26681 59 12 883 88;618;793;642;1135;1385;331;1202;1299;729;996;1383 12 5548
27042 60 5 612 739;211;140;1340;630 1 6315
28491 61 5 964 686;756;996;1217;1165 1 6315
28519 62 5 1079 712;1276;1280;1102;1023 1 6315
28728 63 4 1300 1454;1567;1051;1128 190 2307
28756 64 14 910 1238;192;658;67;992;422;1184;1195;1453;568;819;1120;1102;1733 20 3581
28865 65 5 1143 821;538;1112;1721;1522 1 6315
29151 66 1 1355 1355 1 6315
29208 67 2 1072 1013;1132 242 9250
29717 68 5 1136 722;1482;1261;1225;989 134 1872
30216 69 4 1255 1113;1254;1623;1030 4 7408
30626 70 2 1584 1590;1579 1 6315
30667 71 8 877 888;192;1222;1053;944;937;791;992 1 6315
30706 72 1 855 855 4 7408
30815 73 3 878 335;1097;1203 1 6315
31227 74 3 957 1008;675;1187 2 8126
31448 75 4 942 1139;953;576;1099 1 6315
31519 76 9 1030 831;1058;1359;828;1216;801;1338;1507;328 6 3785
31602 77 3 968 1136;830;938 3 2095
31672 78 2 608 402;814 7 1009
31705 79 3 998 1220;1103;672 1 6315
31811 80 2 1084 1432;735 1 6315
31957 81 9 1139 879;1178;1517;1374;1382;931;1172;1109;710 81 4090
31959 82 2 787 1306;268 80 6285
32013 83 5 790 393;862;701;1078;915 44 6922
32115 84 3 846 1418;1005;114 1 6315
