time jobId jobSize runtime tasks user
2412 1 2 749 698;800 1
4854 2 2 296 74;517 4
4935 3 2 758 817;700 120
5001 4 4 592 873;205;556;732 41
15300 5 2 714 1083;345 1
21129 6 6 698 374;591;1356;991;591;283 1
21463 7 4 287 218;192;110;628 3
22071 8 4 650 794;966;578;260 1
22087 9 10 714 299;220;156;795;1328;557;527;990;881;1384 19
22092 10 4 572 722;367;1089;110 11
23038 11 9 730 431;972;746;1072;932;641;807;337;631 12
23137 12 2 666 1179;152 1
23426 13 3 419 392;577;287 2
23460 14 3 617 410;831;609 3
23484 15 5 759 727;111;948;769;1240 3
23529 16 4 344 527;347;78;422 29
23649 17 2 553 766;340 3
24050 18 1 594 594 322
24198 19 3 312 265;123;549 2
24637 20 3 760 323;1287;669 3
24693 21 2 358 342;374 18
24754 22 2 582 432;731 1
24758 23 7 636 1194;617;110;774;596;1065;99 4
25168 24 3 809 191;1067;1170 3
25217 25 3 546 223;676;738 2
25222 26 10 787 384;1019;1295;323;459;963;658;799;897;1075 11
25273 27 2 838 509;1166 7
25405 28 2 563 412;714 1
25737 29 3 683 1172;578;298 3
25771 30 3 621 878;281;704 1
25792 31 4 682 384;906;1013;425 1
25813 32 3 544 414;702;515 350
25997 33 2 632 242;1021 3
26025 34 4 551 616;904;386;299 1
26099 35 7 911 451;999;1293;507;665;1256;1204 12
26315 36 3 480 503;344;593 3
26473 37 16 583 208;393;619;86;1071;993;800;688;727;318;460;401;709;493;1005;364 8
26547 38 1 101 101 1
26633 39 7 638 692;926;646;266;519;972;445 1
26689 40 3 547 712;377;553 1
27147 41 2 794 1006;581 6
27244 42 3 565 320;630;746 1
27361 43 2 506 459;554 35
27507 44 3 615 791;610;443 2
27529 45 2 282 348;215 28
27640 46 2 753 696;810 3
27956 47 22 704 620;454;567;374;763;152;1093;425;537;573;509;360;1080;771;804;697;751;956;530;1229;1184;1060 3
27983 48 6 939 248;1090;1424;343;1421;1109 1
28118 49 3 441 194;304;825 2
28184 50 8 737 787;960;358;883;842;600;799;670 208
28229 51 1 970 970 28
28455 52 12 461 716;564;487;876;893;167;245;383;364;507;187;142 3
28459 53 5 659 992;562;96;673;974 1
28502 54 3 435 254;330;720 109
28549 55 8 592 834;796;92;637;611;405;122;1237 3
28621 56 4 586 484;805;296;761 2
28703 57 2 473 483;463 8
29071 58 24 639 226;809;1466;644;272;734;699;349;897;1107;418;1132;275;511;1094;288;492;490;811;616;86;555;310;1060 2
29091 59 6 525 919;506;558;564;435;166 2
29128 60 19 612 970;670;626;680;552;654;1138;931;72;672;419;423;1248;655;77;369;209;597;666 1
29425 61 1 957 957 18
29560 62 8 563 1159;643;893;721;347;282;218;243 78
29650 63 2 610 595;625 4
29674 64 13 650 697;696;360;714;1318;647;845;428;71;546;1406;444;281 3
30260 65 4 798 821;724;953;696 1
30304 66 3 766 855;973;471 1
30362 67 3 1123 1186;977;1206 4
30639 68 3 730 405;1164;620 4
30657 69 2 1096 1312;879 18
30726 70 4 596 349;695;244;1094 1
30865 71 3 652 592;169;1194 1
30890 72 1 363 363 5
30908 73 5 590 472;684;230;1024;538 1
30926 74 5 924 353;721;1369;960;1217 41
31140 75 2 878 929;826 16
31291 76 2 336 226;446 12
31515 77 11 471 587;232;356;232;755;364;172;599;1006;633;245 80
31574 78 2 744 976;511 6
31850 79 5 643 669;484;706;349;1009 27
31870 80 11 529 301;206;1008;831;192;1158;259;918;194;314;440 1
31963 81 3 792 230;1056;1089 10
32035 82 20 639 519;462;623;307;1191;119;886;828;77;677;981;1213;1296;398;287;601;673;229;1034;383 4
32060 83 1 374 374 7
32530 84 7 595 394;940;636;292;1075;460;368 6
32595 85 9 520 453;81;265;510;907;840;537;251;835 1
32658 86 3 586 637;321;801 1
32916 87 4 497 821;289;758;121 34
33189 88 4 428 251;446;762;255 7
33206 89 3 672 226;1177;613 1
33257 90 2 501 389;613 14
33332 91 3 479 155;1053;228 1
33389 92 3 802 1125;687;594 1
34172 93 2 704 579;829 42
34203 94 6 834 1118;826;649;585;1052;776 6
34233 95 4 771 470;796;766;1052 17
34266 96 2 353 227;479 1
34731 97 2 742 860;624 21
34798 98 5 855 1113;1224;194;706;1040 146
34879 99 2 371 343;399 2
34881 100 3 797 931;694;767 52
34909 101 4 850 444;804;1147;1003 49
35380 102 1 640 640 1
35461 103 11 692 1320;125;230;897;685;601;761;829;817;897;445 20
36467 104 2 583 821;345 1
36826 105 2 1059 933;1185 2
36985 106 2 300 272;327 1
37170 107 3 931 1236;728;829 118
37183 108 4 701 988;743;400;674 1
37403 109 23 497 596;135;302;576;1373;568;764;345;914;410;317;522;248;389;110;901;218;424;643;680;668;178;146 3
37942 110 2 878 1206;551 1
38005 111 4 541 542;525;801;295 18
38098 112 3 840 839;606;1075 93
38552 113 1 1266 1266 1
38754 114 7 615 575;577;1022;585;530;798;220 1
38954 115 2 442 632;253 2
39080 116 4 622 143;1118;658;571 1
39106 117 5 788 732;1042;919;562;684 1
39133 118 4 714 880;318;288;1368 1
39323 119 1 625 625 36
40399 120 1 1340 1340 2
40622 121 2 343 282;404 8
40667 122 18 683 974;1118;143;130;198;1069;535;365;568;829;787;234;870;1289;1285;185;561;1156 211
40731 123 2 677 92;1262 1
40756 124 3 875 649;728;1248 3
40846 125 2 466 125;807 1
40865 126 3 344 483;158;391 10
41240 127 4 692 714;707;1137;212 7
41261 128 5 808 1227;359;759;396;1300 1
42236 129 4 809 573;1228;1142;293 72
42276 130 1 285 285 12
42504 131 3 626 463;855;561 19
42517 132 4 681 795;417;664;848 1
42539 133 4 551 387;560;455;803 4
42684 134 2 219 67;371 197
42693 135 15 447 383;109;547;145;696;406;203;1219;594;424;480;198;762;376;158 24
42715 136 4 858 1050;936;146;1302 2
42717 137 4 454 577;127;395;719 5
42831 138 2 746 624;868 10
43268 139 10 683 1438;297;964;266;700;1108;727;370;702;261 1
43354 140 1 568 568 2
43397 141 2 610 730;491 109
43483 142 3 495 566;318;602 350
43568 143 18 690 549;1300;1387;187;663;602;275;993;540;890;503;624;889;522;681;156;710;942 1
43669 144 5 745 1291;1186;292;814;142 47
43934 145 7 807 994;633;1039;728;647;474;1136 1
44053 146 1 1354 1354 1
44154 147 4 883 717;580;1182;1052 2
44215 148 4 884 1107;872;588;971 2
44493 149 16 702 813;177;656;1124;740;825;237;1319;768;668;1347;1290;155;470;294;352 4
44618 150 26 593 464;601;753;227;117;350;516;137;404;84;1011;523;234;450;848;864;1066;773;294;1101;753;1026;455;385;871;1103 2
44649 151 1 764 764 3
44879 152 7 529 748;202;886;208;436;417;806 1
44899 153 11 642 576;323;705;1229;111;380;551;260;1296;691;945 109
45264 154 3 592 794;501;482 7
45286 155 2 844 647;1040 2
45887 156 5 738 420;780;753;1042;697 4
46013 157 2 537 760;314 1
46171 158 38 682 437;856;1109;278;550;363;108;478;715;817;378;679;210;1014;569;1169;768;994;704;1008;629;1215;640;1122;714;857;234;608;463;663;970;610;827;413;548;1050;608;544 126
46181 159 2 428 573;284 300
46185 160 10 735 1276;1027;1091;227;1125;283;1024;226;726;348 66
46203 161 3 1085 1198;1149;907 6
46415 162 3 526 802;242;534 26
46526 163 3 680 822;643;574 2
46877 164 3 589 508;502;757 26
47080 165 3 817 1061;680;711 1
47435 166 2 986 919;1052 123
47506 167 3 697 773;861;457 11
47658 168 2 834 1195;473 8
47700 169 2 630 672;587 1
47940 170 10 687 1121;375;837;1086;442;676;816;264;267;989 2
47999 171 6 646 600;1055;967;609;272;375 2
48208 172 43 692 179;685;783;772;297;651;578;341;630;908;195;444;305;288;482;1429;1077;825;966;611;348;209;344;781;933;526;779;714;1207;776;1046;729;1239;582;669;1475;248;1039;305;1021;694;1109;552 1
48247 173 6 750 104;890;845;420;852;1390 2
48523 174 4 487 564;611;287;487 1
49147 175 5 690 585;679;426;863;895 1
49181 176 3 590 581;615;573 82
