time jobId jobSize runtime tasks user peer
149 1 15 744 291;809;947;271;957;507;1087;107;1277;639;470;1260;340;1186;1015 2 6
2726 2 2 603 246;960 2 6
9364 3 10 672 223;1050;511;467;322;1112;1399;136;622;881 1 2
10959 4 1 501 501 82 2
11457 5 1 859 859 24 6
13899 6 3 940 1253;1105;463 1 2
14900 7 6 695 1000;109;1013;1037;491;519 2 6
19327 8 3 948 947;784;1112 3 4
19368 9 4 923 929;1267;637;860 3 4
19370 10 4 936 465;700;1106;1471 26 7
19428 11 6 619 673;1286;242;496;867;150 3 4
19618 12 19 999 1000;1038;926;943;994;822;1344;1395;928;542;710;505;1081;1161;823;1273;1291;1284;922 3 4
20548 13 8 880 558;1480;652;1292;568;822;1162;505 30 8
20602 14 1 514 514 1 2
20645 15 7 816 926;416;623;1136;948;946;719 101 8
20667 16 4 938 361;706;1546;1139 5 1
21145 17 2 886 1426;347 1 2
21265 18 7 1073 882;1384;943;1080;999;1031;1195 1 2
21314 19 11 878 296;931;1612;998;367;655;782;1292;553;744;1427 204 1
21325 20 9 724 651;255;1176;711;1008;723;556;675;760 4 4
21451 21 4 1080 991;1423;1045;862 1 2
22222 22 4 1314 1013;1509;1075;1658 2 6
22339 23 1 1579 1579 4 4
22684 24 5 1015 844;1017;1085;1179;952 22 2
22744 25 7 906 523;1113;1310;1070;638;576;1113 1 2
23467 26 1 367 367 76 5
23479 27 2 954 937;970 1 2
23771 28 1 1658 1658 278 7
23838 29 8 886 979;435;895;1556;608;529;1298;789 1 2
23871 30 2 1141 836;1446 2 6
24022 31 3 757 1416;615;240 46 3
24148 32 5 965 935;946;753;817;1376 6 2
24371 33 2 1072 961;1182 1 2
24381 34 2 982 436;1527 2 6
24687 35 6 1141 1275;1670;1272;883;1177;570 3 4
24707 36 2 842 1118;565 2 6
24781 37 5 980 1383;490;1275;637;1115 14 9
24908 38 2 1068 850;1285 2 6
24932 39 4 829 356;843;1458;660 8 5
24957 40 2 1023 414;1632 13 5
25069 41 1 1139 1139 1 2
25078 42 2 780 546;1014 13 5
25091 43 2 283 194;372 4 4
25102 44 4 994 1120;607;1007;1242 1 2
25183 45 30 830 1177;741;459;526;391;720;683;648;997;371;1434;681;775;1365;573;946;1273;1202;747;1021;824;263;1105;489;812;905;437;954;1586;785 102 1
25368 46 5 924 734;1327;737;840;982 1 2
25662 47 8 948 1462;957;806;411;583;1025;834;1508 3 4
25840 48 1 718 718 1 2
26207 49 12 812 993;1654;795;905;785;364;464;1144;454;804;982;398 2 6
26312 50 3 1035 699;995;1411 1 2
